OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113883.3.526.3.1134|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1238:Ejection Fraction)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Diagnostic Study|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1139|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.39:ACE Inhibitor or ARB)|CY 2014 EP|Diabetes: Urine Protein Screening|Medication|0062|CMS134v3|
2.16.840.1.113883.3.526.3.1139|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.39:ACE Inhibitor or ARB)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Medication|0081|CMS135v3|
2.16.840.1.113883.3.526.3.1140|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.305:Patient Reason for ACE Inhibitor or ARB Decline)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Communication|0081|CMS135v3|
2.16.840.1.113883.3.526.3.1141|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1243:Psychoanalysis)|CY 2014 EP|Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment|Encounter|1365|CMS177v3|
2.16.840.1.113883.3.526.3.1141|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1243:Psychoanalysis)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1141|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1243:Psychoanalysis)|CY 2014 EP|Adult Major Depressive Disorder (MDD): Suicide Risk Assessment|Encounter|0104|CMS161v3|
2.16.840.1.113883.3.526.3.1151|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1244:Renal Failure Due to ACE Inhibitor)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Condition/Diagnosis/Problem|0081|CMS135v3|
2.16.840.1.113883.3.526.3.1164|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1389:Breast Cancer Primary Tumor Size T1a)|CY 2014 EP|Breast Cancer: Hormonal Therapy for Stage IC-IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer|Attribute|0387|CMS140v3|
2.16.840.1.113883.3.526.3.1170|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.422:Tobacco User)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Individual Characteristic|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1174|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.133:Beta Blocker Therapy)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Medication|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1174|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.133:Beta Blocker Therapy)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Medication|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1176|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1341:Heart Rate)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Physical Exam|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1176|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1341:Heart Rate)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Physical Exam|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1177|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1333:Allergy to Beta Blocker Therapy)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Condition/Diagnosis/Problem|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1177|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1333:Allergy to Beta Blocker Therapy)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Condition/Diagnosis/Problem|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1178|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1334:Intolerance to Beta Blocker Therapy)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Condition/Diagnosis/Problem|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1178|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1334:Intolerance to Beta Blocker Therapy)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Condition/Diagnosis/Problem|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1184|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1342:Beta Blocker Therapy for LVSD)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Medication|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1184|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1342:Beta Blocker Therapy for LVSD)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Medication|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1185|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1347:Previous Receipt of Influenza Vaccine)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Communication|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1187|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1251:Group Psychotherapy)|CY 2014 EP|Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment|Encounter|1365|CMS177v3|
2.16.840.1.113883.3.526.3.1189|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.511:Tobacco Non-User)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Individual Characteristic|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1190|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.423:Tobacco Use Cessation Pharmacotherapy)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Medication|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1193|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.303:Cardiac Pacer)|CY 2014 EP|Coronary Artery Disease (CAD): Beta-Blocker Therapy—Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%)|Device|0070|CMS145v3|
2.16.840.1.113883.3.526.3.1193|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.303:Cardiac Pacer)|CY 2014 EP|Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Device|0083|CMS144v3|
2.16.840.1.113883.3.526.3.1197|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1388:Breast Cancer Primary Tumor Size T1mi)|CY 2014 EP|Breast Cancer: Hormonal Therapy for Stage IC-IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer|Attribute|0387|CMS140v3|
2.16.840.1.113883.3.526.3.1211|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1256:Allergy to ACE Inhibitor or ARB)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Condition/Diagnosis/Problem|0081|CMS135v3|
2.16.840.1.113883.3.526.3.1212|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1257:Intolerance to ACE Inhibitor or ARB)|CY 2014 EP|Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD)|Condition/Diagnosis/Problem|0081|CMS135v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Encounter|0064|CMS163v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Encounter|0075|CMS182v4|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Breast Cancer Screening|Encounter|Not Applicable|CMS125v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Anti-depressant Medication Management|Encounter|0105|CMS128v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Colorectal Cancer Screening|Encounter|0034|CMS130v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Controlling High Blood Pressure|Encounter|0018|CMS165v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Diabetes: Urine Protein Screening|Encounter|0062|CMS134v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Falls: Screening for Future Fall Risk|Encounter|0101|CMS139v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Use of High-Risk Medications in the Elderly|Encounter|0022|CMS156v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Encounter|0068|CMS164v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Diabetes: Hemoglobin A1c Poor Control|Encounter|0059|CMS122v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Diabetes: Foot Exam|Encounter|0056|CMS123v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Pneumonia Vaccination Status for Older Adults|Encounter|0043|CMS127v3|
2.16.840.1.113883.3.526.3.1240|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit)|CY 2014 EP|Diabetes: Eye Exam|Encounter|0055|CMS131v3|
2.16.840.1.113883.3.526.3.1241|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1344:Acute and Subacute Iridocyclitis),(2.16.840.1.113883.3.526.2.1343:Acute and Subacute Iridocyclitis),(2.16.840.1.113883.3.526.2.1509:Acute and Subacute Iridocyclitis)|CY 2014 EP|Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery|Condition/Diagnosis/Problem|0565|CMS133v3|
2.16.840.1.113883.3.526.3.1241|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1344:Acute and Subacute Iridocyclitis),(2.16.840.1.113883.3.526.2.1343:Acute and Subacute Iridocyclitis),(2.16.840.1.113883.3.526.2.1509:Acute and Subacute Iridocyclitis)|CY 2014 EP|Cataracts: Complications within 30 Days Following Cataract Surgery Requiring Additional Surgical Procedures|Condition/Diagnosis/Problem|0564|CMS132v3|
2.16.840.1.113883.3.526.3.1245|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1324:Health and Behavioral Assessment - Initial)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1248|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.260:LDL-C Laboratory Test)|CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Laboratory Test|0064|CMS163v3|
2.16.840.1.113883.3.526.3.1248|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.260:LDL-C Laboratory Test)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Laboratory Test|0075|CMS182v4|
2.16.840.1.113883.3.526.3.1251|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1364:Macular Exam)|CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Diagnostic Study|0088|CMS167v3|
2.16.840.1.113883.3.526.3.1251|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1364:Macular Exam)|CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Diagnostic Study|0089|CMS142v3|
2.16.840.1.113883.3.526.3.1252|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1125:Preventive Care Services - Established Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1150:Preventive Care Services - Other),(2.16.840.1.113883.3.464.1003.101.11.1080:Home Healthcare Services),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1065:Discharge Services - Nursing Facility),(2.16.840.1.113883.3.464.1003.101.11.1070:Care Services in Long-Term Residential Facility),(2.16.840.1.113883.3.464.1003.101.11.1135:Preventive Care Services - Group Counseling),(2.16.840.1.113883.3.526.2.1363:Annual Wellness Visit),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1060:Nursing Facility Visit),(2.16.840.1.113883.3.464.1003.101.11.1115:Preventive Care Services-Initial Office Visit, 18 and Up),(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Encounter|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1253|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1346:Allergy to Eggs)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Condition/Diagnosis/Problem|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1254|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1348:Influenza Vaccine)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Medication|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1255|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.461:Influenza Vaccination Declined)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Communication|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1256|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1349:Allergy to Influenza Vaccine)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Condition/Diagnosis/Problem|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1257|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1350:Intolerance to Influenza Vaccine)|CY 2014 EP|Preventive Care and Screening: Influenza Immunization|Condition/Diagnosis/Problem|0041|CMS147v4|
2.16.840.1.113883.3.526.3.1259|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1353:Limited Life Expectancy)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Condition/Diagnosis/Problem|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1270|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1390:Breast Cancer Primary Tumor Size T1b)|CY 2014 EP|Breast Cancer: Hormonal Therapy for Stage IC-IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer|Attribute|0387|CMS140v3|
2.16.840.1.113883.3.526.3.1278|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1372:Tobacco Use Screening)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Risk Category/Assessment|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1279|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.508:ECOG Performance Status-Poor)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Individual Characteristic|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1280|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1375:Allergy to Antineoplastic Therapy)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Condition/Diagnosis/Problem|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1283|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1377:Level of Severity of Retinopathy Findings)|CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Attribute|0088|CMS167v3|
2.16.840.1.113883.3.526.3.1283|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1377:Level of Severity of Retinopathy Findings)|CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Communication|0089|CMS142v3|
2.16.840.1.113883.3.526.3.1284|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1373:Macular Edema Findings Absent)|CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Attribute|0088|CMS167v3|
2.16.840.1.113883.3.526.3.1284|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1373:Macular Edema Findings Absent)|CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Communication|0089|CMS142v3|
2.16.840.1.113883.3.526.3.1285|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.111:Ophthalmological Services)|CY 2014 EP|Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention|Encounter|0028|CMS138v3|
2.16.840.1.113883.3.526.3.1285|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.111:Ophthalmological Services)|CY 2014 EP|Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care|Encounter|0089|CMS142v3|
2.16.840.1.113883.3.526.3.1285|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.111:Ophthalmological Services)|CY 2014 EP|Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy|Encounter|0088|CMS167v3|
2.16.840.1.113883.3.526.3.1285|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.111:Ophthalmological Services)|CY 2014 EP|Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation|Encounter|0086|CMS143v3|
2.16.840.1.113883.3.526.3.1287|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1382:Intolerance to Antineoplastic Therapy)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Condition/Diagnosis/Problem|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1288|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1025:Chemotherapy for Colon Cancer - Capecitabine)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Medication|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1289|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1023:Chemotherapy for Colon Cancer - Fluorouracil)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Medication|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1290|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1024:Chemotherapy for Colon Cancer - Leucovorin and Levo-Leucovorin)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Medication|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1291|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1026:Chemotherapy for Colon Cancer - Oxaliplatin)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Medication|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1292|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1002:Colon Cancer Primary Tumor Size T1)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1293|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1003:Colon Cancer Primary Tumor Size T2)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1294|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1004:Colon Cancer Primary Tumor Size T3)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1295|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1005:Colon Cancer Primary Tumor Size T4a)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1296|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1006:Colon Cancer Primary Tumor Size T4b)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1297|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1007:Colon Cancer Regional Lymph Node Status N1)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
2.16.840.1.113883.3.526.3.1298|20140701|American Medical Association-convened Physician Consortium for Performance Improvement(R)|Grouping|(2.16.840.1.113883.3.526.2.1008:Colon Cancer Regional Lymph Node Status N1c)|CY 2014 EP|Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients|Attribute|0385|CMS141v4|
